id;name;type;sex;birthyear;profession;industry;birthcity;party
gudach;Gudula Achterberg;1;2;1965;Diplom-Betriebswirtin (FH);2;Kiel;1
muhara;Muhterem Aras;1;2;1966;Landtagspräsidentin;1;Bingöl;1
buestu;Bürgerstiftung Stuttgart;2;99;99;99;99;99;99
foecol;Förderverein collegium iuvenum Stuttgart e. V. (CIS);2;99;99;99;99;99;99
deutue;Deutsch-Türkisches Forum Stuttgart e. V.;2;99;99;99;99;99;99
stihos;Stiftung Hospitalhof Stuttgart;2;99;99;99;99;99;99
heiboebad;Heinrich-Böll-Stiftung Baden-Württemberg e. V.;2;99;99;99;99;99;99
bunfue;Bund für Umwelt und Naturschutz Deutschland (BUND);2;99;99;99;99;99;99
freundalt;Freunde und Förderer des Altenzentrums Zamenhof und Haus Hasenberg e. V.;2;99;99;99;99;99;99
foedernes;Förderverein der Nesin-Stiftung (FöNeS) e. V.;2;99;99;99;99;99;99
mtvstu;MTV Stuttgart 1843 e. V.;2;99;99;99;99;99;99
susasc;Susanne Aschhoff;1;2;1971;Tierärztin;4;Nürnberg;1
ausfue;Ausschuss für Bildung und Gesundheit der Stadt Mannheim;2;99;99;99;99;99;99
mansag;Mannheim sagt Ja! e. V.;2;99;99;99;99;99;99
schdeu;Schutzgemeinschaft Deutscher Wald e. V.;2;99;99;99;99;99;99
kzged;KZ Gedenkstätte Sandhofen e. V.;2;99;99;99;99;99;99
tierhe;Tierschutzverein Rhein-Neckar e. V.;2;99;99;99;99;99;99
futman;Futteranker Mannheim e. V.;2;99;99;99;99;99;99
kardo;1. Karate Do Mannheim-Schönau e. V;2;99;99;99;99;99;99
intnor;Interessengemeinschaft Nordkultur e. V.;2;99;99;99;99;99;99
kulund;Kultur- und Interessengemeinschaft Mannheim-Schönau e. V.;2;99;99;99;99;99;99
spiman;Spiegelverein Mannheim-Luzenberg e. V. Fördervereine;2;99;99;99;99;99;99
raibal;Rainer Balzer;1;1;1959;Ingenieur;5;Heidelberg;5
amtbru;Amtsgericht Bruchsal;2;99;99;99;99;99;99
verdeuing;Verein Deutscher Ingenieure e. V.;2;99;99;99;99;99;99
aerhei;AeroClub Heidelberg e. V.;2;99;99;99;99;99;99
schwie;Schützengesellschaft Wiesloch 1901 e. V.;2;99;99;99;99;99;99
mitdes;Mitglied des Obst- und Gartenbauvereins Bad Schönborn-Mingolsheim e. V.;2;99;99;99;99;99;99
alfbam;Alfred Bamberger;1;1;1957;Softwareentwickler;6;Eichstätt-Wintershof;5
antbar;Anton Baron;1;1;1987;Produktmanager;2;Dshambul;5
desera;Desiderius-Erasmus-Stiftung;2;99;99;99;99;99;99
verkon;Verein konservativer Kommunalpolitiker in Baden-Württemberg;2;99;99;99;99;99;99
foesol;Förderverein Solebad Niedernhall e. V.;2;99;99;99;99;99;99
thebau;Theresia Bauer;1;2;1965;Ministerin für Wissenschaft Forschung und Kunst;1;Zweibrücken/Pfalz;1
badsta;Badisches Staatstheater Karlsruhe;2;99;99;99;99;99;99
wuesta;Württembergisches Staatstheater Stuttgart;2;99;99;99;99;99;99
carzei;Carl-Zeiss-Stiftung;2;99;99;99;99;99;99
maxpla;Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V.;2;99;99;99;99;99;99
berbra;Berlin-Brandenburgische Akademie der Wissenschaften KöR;2;99;99;99;99;99;99
klatsc;Klaus Tschira Stiftung gGmbH;2;99;99;99;99;99;99
metrhe;Metropolregion Rhein-Neckar;2;99;99;99;99;99;99
andbau;Andre Baumann;1;1;1973;Diplom-Biologe;12;Heidelberg;1
hocfuerot;Hochschule für Forstwissenschaft Rottenburg;2;99;99;99;99;99;99
natsch;Nationalpark Schwarzwald;2;99;99;99;99;99;99
stinat;Stiftung Naturschutzfonds Baden-Württemberg;2;99;99;99;99;99;99
stilan;Stiftung Landesbank Baden-Württemberg;2;99;99;99;99;99;99
verwol;Verein Wolfgang Raufelder - Umweltschutz e. V.;2;99;99;99;99;99;99
natdeu;Naturschutzbund Deutschland e. V. (NABU);2;99;99;99;99;99;99
natfrerad;NaturFreunde Radolfzell e. V.;2;99;99;99;99;99;99
schalb;Schwäbischer Albverein e. V.;2;99;99;99;99;99;99
frenat;Freundeskreis Nationalpark Schwarzwald e. V.;2;99;99;99;99;99;99
bunber;Bundesverband Beruflicher Naturschutz e. V.;2;99;99;99;99;99;99
saesch;Sängerbund Schwetzingen e. V.;2;99;99;99;99;99;99
tiesch;Tierschutzverein Schwetzingen und Umgebung e. V.;2;99;99;99;99;99;99
fredersch;Freundeskreis der Zeyher-Grundschule. V. Schwetzingen;2;99;99;99;99;99;99
fredes;Freundeskreis des Hebelgymnasiums Schwetzingen e. V;2;99;99;99;99;99;99
deujug;Deutsches Jugendherbergswerk e. V.;2;99;99;99;99;99;99
susbay;Susanne Bay;1;2;1965;Diplomverwaltungswirtin (FH);1;Crailsheim;1
foederoff;Förderverein der Offene Hilfen gGmbH – Angebote für Menschen mit einer geistigen Behinderung e. V.;2;99;99;99;99;99;99
verott;Verein Otto-Kirchheimer-Preis e. V.;2;99;99;99;99;99;99
gaffoe;Gaffenberg Förderverein e. V.;2;99;99;99;99;99;99
gafsti;Gaffenberg Stiftung;2;99;99;99;99;99;99
foedam;Förderkreis Dammgrundschule Heilbronn e. V.;2;99;99;99;99;99;99
foemoe;Förderverein Mönchsee-Gymnasium Heilbronn e. V.;2;99;99;99;99;99;99
mushei;Museumsfreunde Heilbronn e. V.;2;99;99;99;99;99;99
foelit;Förderverein Literaturhaus Heilbronn;2;99;99;99;99;99;99
buehei;Bürgerstiftung Heilbronn;2;99;99;99;99;99;99
heiboe;Heinrich-Böll-Stiftung;2;99;99;99;99;99;99
natfre;NaturFreunde Deutschland;2;99;99;99;99;99;99
gre;Greenpeace;2;99;99;99;99;99;99
alebec;Alexander Becker;1;1;1972;Musikwissenschaftler;9;Karlsruhe;2
lanfuepol;Landeszentrale für politische Bildung Baden-Württemberg;2;99;99;99;99;99;99
manund;Mandolinen- und Gitarrenorchester 1924 Ötigheim e. V.;2;99;99;99;99;99;99
bundeuzup;Bund Deutscher Zupfmusiker Landesverband Baden-Württemberg e. V.;2;99;99;99;99;99;99
freder;Freundeskreis der Hochschule für Musik Karlsruhe e. V.;2;99;99;99;99;99;99
hanbeh;Hans-Peter Behrens;1;1;1961;Dipl.-Ing. (FH) Elektrotechnik-Nachrichtentechnik;5;Schwäbisch Gmünd;1
inifue;Initiative für sozial- und ökopädagogische Erziehung e. V.;2;99;99;99;99;99;99
obsundwei;Obst- und Gartenbauverein Weitenung e. V.;2;99;99;99;99;99;99
muswei;Musikverein Weitenung e. V;2;99;99;99;99;99;99
trafra;Trägerverein Frauen- und Kinderschutzhaus Baden-Baden und Landkreis Rastatt e. V.;2;99;99;99;99;99;99
patfue;Patronatsgesellschaft für Theater und Philharmonie Baden-Baden e. V.;2;99;99;99;99;99;99
lebder;Lebenshilfe der Region Baden-Baden/Bühl/Achern e. V.;2;99;99;99;99;99;99
sasbin;Sascha Binder;1;1;1983;Rechtsanwalt;3;99;3
foepsy;Förderverein psychosoziale Krebsberatung im Landkreis Göppingen e. V.;2;99;99;99;99;99;99
turgei;Turngemeinde Geislingen/Steige e. V.;2;99;99;99;99;99;99
spoclu;Sport-Club 1900 Geislingen e. V.;2;99;99;99;99;99;99
tenbad;Tennisclub Bad Überkingen e. V.;2;99;99;99;99;99;99
arb;Arbeiterwohlfahrt e. V.;2;99;99;99;99;99;99
verdi;ver.di;2;99;99;99;99;99;99
ugafre;Uganda-Freundeskreis e. V.;2;99;99;99;99;99;99
vfbstu;VfB Stuttgart 1893 e. V.;2;99;99;99;99;99;99
denbir;Dennis Birnstock;1;1;1991;Biotechnologe;12;Filderstadt;4
jugbad;Jugendstiftung Baden-Württemberg;2;99;99;99;99;99;99
elebil;element-i Bildungsstiftung gGmbH;2;99;99;99;99;99;99
schdes;Schülerwettbewerb des Landtags von Baden-Württemberg zur Förderung der politischen Bildung;2;99;99;99;99;99;99
stides;Stiftung des Württembergischen Landessportbunds;2;99;99;99;99;99;99
verdeszwefil;Verbandsversammlung des Zweckverbands Filderwasserversorgung;2;99;99;99;99;99;99
verdeszwehoc;Verbandsversammlung des Zweckverbands Hochwasserschutz Körsch;2;99;99;99;99;99;99
thoble;Thomas Blenke;1;1;1965;Volljurist;3;Ludwigshafen/Rhein;2
intfor;Internationales Forum Burg Liebenzell;2;99;99;99;99;99;99
andbog;Andrea Bogner-Unden;1;2;1955;Landtagsabgeordnete;1;Stuttgart;1
parder;Parlamentariergruppe der Europa-Union im Landtag von Baden-Württemberg;2;99;99;99;99;99;99
lanfuealp;Landesbeirat für Alphabetisierung und Grundbildung;2;99;99;99;99;99;99
gemelt;Gemeinnützigen Elternstiftung Baden-Württemberg;2;99;99;99;99;99;99
stient;Stiftung Entwicklungs-Zusammenarbeit Baden-Württemberg (SEZ);2;99;99;99;99;99;99
lanwue;Landestheater Württemberg-Hohenzollern;2;99;99;99;99;99;99
stisin;Stiftung „Singen mit Kindern“;2;99;99;99;99;99;99
foeabl;Förderverein Ablachtalbahn e. V.;2;99;99;99;99;99;99
turund;Turn- und Sportverein 1924 Wald e. V.;2;99;99;99;99;99;99
verderfre;Verein der Freunde und Förderer der Hochschule Albstadt Sigmaringen e. V.;2;99;99;99;99;99;99
euruni;Europa-Union Deutschland e. V.;2;99;99;99;99;99;99
krezol;Kreisverband Zollernalbkreis;2;99;99;99;99;99;99
deualppfu;Deutscher Alpenverein Sektion Pfullendorf;2;99;99;99;99;99;99
frabon;Frank Bonath;1;1;1972;Dipl. Volkswirt;2;Villingen-Schwenningen;4
lanfuenat;Landesbeirat für Natur- und Umweltschutz;2;99;99;99;99;99;99
verber;Verein Bernhardshütte e. V;2;99;99;99;99;99;99
danbor;Daniel Born;1;1;1975;Stellv. Landtagspräsident;1;Speyer;3
stikin;Stiftung Kinderland;2;99;99;99;99;99;99
bunfuemus;Bundesakademie für musikalische Jugendbildung;2;99;99;99;99;99;99
gelhan;„Gelbe Hand –mach’ meinen Kumpel nicht an“.;2;99;99;99;99;99;99
milsch;Mildred-Scheel-Kreis e. V. (Förderverein der Deutschen Krebshilfe);2;99;99;99;99;99;99
awoort;AWO-Ortsverein Hockenheim;2;99;99;99;99;99;99
awokre;AWO-Kreisvorstand;2;99;99;99;99;99;99
plurhe;PLUS Rhein-Neckar e. V.;2;99;99;99;99;99;99
sanbos;Sandra Boser;1;2;1976;Staatssekretärin;1;Spaichingen;1
teafir;Teach First Deutschland in Baden-Württemberg;2;99;99;99;99;99;99
stebra;Stephen Brauer;1;1;1970;Diplom-Handelslehrer;2;Crailsheim;4
sposchhal;Sportkreis Schwäbisch Hall e. V. im Württembergischen Landessportbund (WLSB);2;99;99;99;99;99;99
marbra;Martina Braun;1;2;1960;Bio-Bäuerin;7;Furtwangen;1
katlan;Katholische Landvolkbewegung Freiburg;2;99;99;99;99;99;99
timbue;Tim Bückner;1;1;1983;Landtagsabgeordneter;1;Schwäbisch Gmünd;2
deualpsch;Deutscher Alpenverein Sektion Schwäbisch Gmünd;2;99;99;99;99;99;99
worwid;World Wide Fund for Nature (WWF);2;99;99;99;99;99;99
muesch;Münsterbauverein Schwäbisch Gmünd e. V.;2;99;99;99;99;99;99
verderfreder;Verein der Freunde der St. Michael-Chorknaben e. V.;2;99;99;99;99;99;99
foefre;Förderverein Freibad Bettringen e. V.;2;99;99;99;99;99;99
salfre;Salvator-Freundeskreis e. V.;2;99;99;99;99;99;99
pat;PATE e. V;2;99;99;99;99;99;99
heiwal;Heimatverein Waldstetten/Wißgoldingen e. V;2;99;99;99;99;99;99
klabur;Klaus Burger;1;1;1958;Bankkaufmann;2;Mengen;2
leaakt;LEADER-Aktionsgruppe Oberschwaben;2;99;99;99;99;99;99
verderfreund;Verein der Freunde und Förderer Oberschwäbischer Pilgerweg e. V.;2;99;99;99;99;99;99
kresig;Kreisverband Sigmaringen der Schutzgemeinschaft Deutscher Wald;2;99;99;99;99;99;99
freheu;Freilichtmuseum Heuneburg;2;99;99;99;99;99;99
foedes;Förderverein des Benediktinerinnenklosters Unserer Lieben Frau zu Habsthal e. V.;2;99;99;99;99;99;99
aylcat;Ayla Catalpepe;1;2;1972;MTLA;4;Göppingen;1
ferin;FernUniversität in Hagen;2;99;99;99;99;99;99
sebcun;Sebastian Cuny;1;1;1978;Politikwissenschaftler;12;Heidelberg;3
parrin;Parlamentarischer Ring Volksbund Deutsche Kriegsgräberfürsorge;2;99;99;99;99;99;99
ortsch;Ortsgruppe Schriesheim e. V.;2;99;99;99;99;99;99
sposch;Sportverein 1919 Schriesheim e. V.;2;99;99;99;99;99;99
einfra;Eintracht Frankfurt e. V.;2;99;99;99;99;99;99
anddeu;Andreas Deuschle;1;1;1978;Rechtsanwalt;3;Nürtingen;2
recstu;Rechtsanwaltskammer Stuttgart;2;99;99;99;99;99;99
medund;Medienrat und medienpädagogischer Ausschuss des Medienrats der Landesanstalt für Kommunikation Baden-Württemberg;2;99;99;99;99;99;99
hocfue;Hochschule für Technik Stuttgart;2;99;99;99;99;99;99
deurotess;Deutsches Rotes Kreuz – Kreisverband Esslingen e. V.;2;99;99;99;99;99;99
thodoe;Thomas Dörflinger;1;1;1969;Bankkaufmann;2;Laupheim;2
ummbue;Ummendorfer Bürgerstiftung;2;99;99;99;99;99;99
bereis;Bernhard Eisenhut;1;1;1958;Kaufmann;2;Konstanz;5
spo;Sportschütze;2;99;99;99;99;99;99
konepp;Konrad Epple;1;1;1963;Schlossermeister;11;Stuttgart;2
frefeu;Freiwillige Feuerwehr;2;99;99;99;99;99;99
neseri;Nese Erikli;1;2;1981;Projektleiterin Stiftungsmanagement;8;Heilbronn;1
arbkom;Arbeitsgemeinschaft kommunales Kino Konstanz – Zebra Kino e.V.;2;99;99;99;99;99;99
niegro;NIEDERBURG Große Konstanzer Narrengesellschaft 1884 e. V.;2;99;99;99;99;99;99
deumie;Deutscher Mieterbund Bodensee e.V.;2;99;99;99;99;99;99
verdeu;Verkehrsclub Deutschland (VCD) e.V.;2;99;99;99;99;99;99
daneve;Daniela Evers;1;2;1971;Rechtsanwältin;3;Freiburg;1
aufdes;Freiburger Münsterbauvereins e. V .;2;99;99;99;99;99;99
arnfrei;Arnulf Freiherr von Eyb;1;1;1955;Rechtsanwalt;3;Heidelberg;2
wirder;Wirtschaftsrat der CDU e.V.;2;99;99;99;99;99;99
sekhoh;Sektion Hohenlohe/Schwäbisch Hall;2;99;99;99;99;99;99
nicfin;Nicolas Fink;1;1;1976;Diplom-Verwaltungswirt (FH);1;Schorndorf;3
fcess;FC Esslingen e. V.;2;99;99;99;99;99;99
moteis;Motorsportclub „Eiserne Hand“ e.V. Aichwald;2;99;99;99;99;99;99
musaic;Musikverein Aichschieß e.V.;2;99;99;99;99;99;99
obsundaic;Obst- und Gartenbauverein Aichwald e.V.;2;99;99;99;99;99;99
buezeh;Bürgerverein Zehntscheuer Nabern e.V.;2;99;99;99;99;99;99
weirin;Weißer Ring;2;99;99;99;99;99;99
freundwil;Freunde und Förderer der Wilhelma Stuttgart-Bad Cannstatt e.V.;2;99;99;99;99;99;99
verderver;Verband der Verwaltungsbeamten in Baden-Württemberg e.V.;2;99;99;99;99;99;99
verbad;Verband Baden-Württembergischer Bürgermeister e.V.;2;99;99;99;99;99;99
sozgem;Sozialdemokratische Gemeinschaft für Kommunalpolitik e. V. Baden-Württemberg;2;99;99;99;99;99;99
intmah;Initiative Mahlwerk KUNST KULTUR AKTION e.V.;2;99;99;99;99;99;99
sozvdk;Sozialverband VdK Baden-Württemberg e.V.;2;99;99;99;99;99;99
fcst;FC St. Pauli e.V.;2;99;99;99;99;99;99
rudfis;Rudi Fischer;1;1;1954;Maschinenbau-Techniker und techn. Betriebswirt;5;Pfullingen;4
josfre;Josef Frey;1;1;1959;Diplom-Sozialpädagoge (FH);8;Heidelberg;1
eurkeh;Euro-Institut (Kehl);2;99;99;99;99;99;99
carfue;Caritasverband für den Landkreis Lörrach e.V.;2;99;99;99;99;99;99
deurot;Deutsches Rotes Kreuz;2;99;99;99;99;99;99
intvel;Interessengemeinschaft Velo im Landkreis Lærrach e. V. (IG Velo);2;99;99;99;99;99;99
steful;Stefan Fulst-Blei;1;1;1968;Berufsschullehrer;8;Mannheim;3
regman;Regionalverband Mannheim/Rhein-Neckar - Arbeiter-Samariter-Bundes Landesverband Baden-Württemberg e.V. (ASB);2;99;99;99;99;99;99
svwal;SV Waldhof Mannheim 07 e.V.;2;99;99;99;99;99;99
steinwir;Steinbeis-Stiftung für Wirtschaftsförderung;2;99;99;99;99;99;99
gewerz;Gewerkschaft Erziehung und Wissenschaft;2;99;99;99;99;99;99
psyles;Psychologische Lesben- und Schwulenberatung Rhein-Neckar e. V. (PLUS);2;99;99;99;99;99;99
chrgeh;Christian Gehring;1;1;1979;Kriminalhauptkommissar;13;Villingen-Schwenningen;2
margen;Marion Gentges;1;2;1971;Ministerin der Justiz und für Migration;1;Haslach;2
silger;Silke Gericke;1;2;1974;Germanistin (MA);9;Amberg;1
bergoe;Bernd Gögel;1;1;1955;Groß- und Außenhandelskaufmann;2;Niefern;5
julgol;Julia Goll;1;2;1964;Richterin am Landgericht;3;Hamburg;4
rotint;Rotary International;2;99;99;99;99;99;99
arbwai;Arbeitskreis „Waiblingen ENGAGIERT“;2;99;99;99;99;99;99
remmur;Rems-Murr-Stiftung;2;99;99;99;99;99;99
hangro;Hans-Jürgen Großner;1;1;1970;Industriemeister für Elektrotechnik;5;Göppingen;5
krauhi;Krankenpflegeverein Uhingen e.V.;2;99;99;99;99;99;99
margra;Martin Grath;1;1;1960;Bäckermeister;11;Thalfingen;1
foenat;Förderverein Naturtheater Heidenheim e.V.;2;99;99;99;99;99;99
nathei;Naturtheater Heidenheim e.V.;2;99;99;99;99;99;99
skihei;Ski-Club Heidenheim e.V.;2;99;99;99;99;99;99
tenhei;Tennis-Club Heidenheim e.V.;2;99;99;99;99;99;99
heispo;Heidenheimer Sportbund 1846 e. V. (HSB);2;99;99;99;99;99;99
foederkli;Förderverein der Klinik für Kinder- und Jugendmedizin am Klinikum Heidenheim e.V.;2;99;99;99;99;99;99
brehei;Brenzpark e.V. (Heidenheim);2;99;99;99;99;99;99
deufel;Deutscher Feldbogen Sportverband e.V. (DFBV);2;99;99;99;99;99;99
bergri;Bernd Grimmer;1;1;1950;Diplom-Volkswirt;2;Pforzheim;5
gergru;Gernot Gruber;1;1;1963;Politikwissenschaftler;12;Murrhardt;3
freerh;Freundeskreis Dr. Erhard Eppler;2;99;99;99;99;99;99
bunwin;Bundesverband Windenergie;2;99;99;99;99;99;99
deuwel;Deutsche Welthungerhilfe;2;99;99;99;99;99;99
buein;Bürger-Energiegenossenschaften in Backnang;2;99;99;99;99;99;99
frihaa;Friedrich Haag;1;1;1989;Selbständiger Unternehmer;2;Stuttgart;4
frefeustu;Freiwillige Feuerwehr Stuttgart;2;99;99;99;99;99;99
helpfl;Helene-Pfleiderer-Stiftung;2;99;99;99;99;99;99
denkbad;Denkmalstiftung Baden- Württemberg;2;99;99;99;99;99;99
libmit;Liberalen Mittelstand (LIM) – Landesverband Baden-Württemberg e.V.;2;99;99;99;99;99;99
pethae;Petra Häffner;1;2;1964;Heilpraktikerin und Physiotherapeutin;4;Schorndorf;1
polmit;Politik mit Frauen e.V. im Rems-Murr-Kreis;2;99;99;99;99;99;99
marhae;Martina Häusler;1;2;1964;Betriebswirtin (VWA);2;Schwäbisch Gmünd;1
pronew;Projektgruppe NewLimes e.V.;2;99;99;99;99;99;99
foeges;Förderverein Gesellschaft der Freunde;2;99;99;99;99;99;99
jugsch;Jugendkulturinitiative Schwäbisch Gmünd e.V.;2;99;99;99;99;99;99
sorint;Soroptimist International (SI);2;99;99;99;99;99;99
clusch;Club Schwäbisch Gmünd;2;99;99;99;99;99;99
kunkis;Kunstverein KISS Kunst im Schloss Untergröningen e.V.;2;99;99;99;99;99;99
foegmu;Förderverein Gmünder Südstadt e.V.;2;99;99;99;99;99;99
kireva;Kirchengemeinderat der Evangelischen Kirchengemeinde Schwäbisch Gmünd;2;99;99;99;99;99;99
verhil;Verein Hilfe für Togo e. V.;2;99;99;99;99;99;99
manhag;Manuel Hagel;1;1;1988;Dipl. Bankbetriebswirt;2;Ehingen;2
bueehi;Bürgerstiftung Ehingen;2;99;99;99;99;99;99
ernehi;Ernst-und-Anna-Rumler-Stiftung Ehingen;2;99;99;99;99;99;99
marhah;Martin Hahn;1;1;1963;Landwirt;7;Stockach;1
badlan;Badischen Landwirtschaftlichen Hauptverband e.V. (BLHV);2;99;99;99;99;99;99
arbbae;Arbeitsgemeinschaft bäuerliche Landwirtschaft e.V. (AbL);2;99;99;99;99;99;99
tenalt;Tennis-Clubs Altbirnau e.V.;2;99;99;99;99;99;99
somueb;Sommertheater Überlingen e. V.;2;99;99;99;99;99;99
manhai;Manuel Hailfinger;1;1;1982;Justiziar;3;Reutlingen;2
